binID, date, med_lon, med_lat, sd_lon, sd_lat, SEM_lon, SEM_lat, samplesize, year, distperday, month, day, confidence, distcolony, bird
60,2016-04-29,140.44,45.51,0,0,0,0,1,2016,0,4,29,5,151.615643, 10a9251
61,2016-04-30,140.105,46.28,0.190253,0.625591,0.095127,0.312796,4,2016,89.708499,4,30,5,240.717583, 10a9251
62,2016-05-02,140.59,43.49,0.842948,1.001131,0.486677,0.578003,3,2017,377.86057,5,2,5,97.332197, 10a9251
63,2016-05-04,141.86,41.315,0.211621,4.461844,0.149638,3.155,2,2016,665.704086,5,4,5,330.987651, 10a9251
64,2016-05-06,141.03,45.13,0,0,0,0,1,2016,88.678654,5,6,5,98.254695, 10a9251
66,2016-05-10,141.155,45.145,0.433809,0.940453,0.30675,0.665001,2, NaN,90.255051,5,10,5,99.175793, 10a9251
67,2016-05-13,139.08,47.73,0,0,0,0,1,2016,163.553289,5,13,5,419.462925, 10a9251
68,2016-05-14,139.96,46.56,0,0,0,0,1,2016,146.197082,5,14,5,273.76993, 10a9251
69,2016-05-17,138.415,46.21,0.181045,0.410122,0.128018,0.29,2,2016,52.659975,5,17,5,307.604615, 10a9251
70,2016-05-18,138.61,45.33,0,0,0,0,1,2016,71.959927,5,18,5,236.336308, 10a9251
71,2016-05-20,139.51,47.26,0.161993,0.392365,0.093527,0.226532,3,2016,86.768055,5,20,5,358.734794, 10a9251
73,2016-05-24,140.34,45.12,0,0,0,0,1, NaN,50.710795,5,24,5,117.380099, 10a9251
74,2016-05-26,139.93,45.95,0.342252,0.626938,0.197599,0.361963,3,2016,87.911226,5,26,5,212.923311, 10a9251
75,2016-05-28,139.715,46.705,0.354131,0.378906,0.177065,0.189453,4,2016,92.752042,5,28,5,295.781769, 10a9251
76,2016-05-30,138.91,45.43,1.368471,1.880819,0.790087,1.085891,3,2016,239.491143,5,30,5,222.423617, 10a9251
77,2016-06-01,137.75,45.45,0.328712,0.388867,0.189782,0.224513,3,2016,273.316047,6,1,5,302.37227, 10a9251
78,2016-06-03,139.5,45.995,0.721459,0.609531,0.36073,0.304765,4,2016,155.098869,6,3,5,234.659438, 10a9251
79,2016-06-05,137.615,46.705,0.426473,0.555471,0.213236,0.277736,4,2016,161.119781,6,5,5,390.059841, 10a9251
80,2016-06-07,137.14,44.13,0.193532,0.288358,0.111736,0.166483,3,2016,111.700769,6,7,5,323.676097, 10a9251
81,2016-06-09,137.165,44.92,0.481237,0.305138,0.240619,0.152569,4,2016,111.148756,6,9,5,327.725463, 10a9251
82,2016-06-11,140.715,45.1,0.41907,0.54615,0.209535,0.273075,4,2016,141.034212,6,11,5,101.263958, 10a9251
83,2016-06-13,142.495,42.79,0.18957,0.165865,0.094785,0.082933,4,2016,101.509164,6,13,5,193.961301, 10a9251
84,2016-06-15,140.74,46.21,0.286225,0.379402,0.143112,0.189701,4,2016,184.658802,6,15,5,220.30906, 10a9251
85,2016-06-17,141.04,45.66,0.364449,0.311237,0.210415,0.179693,3,2016,106.355772,6,17,5,156.803647, 10a9251
86,2016-06-19,142.33,46.395,0.624266,0.788498,0.312133,0.394249,4,2016,185.837546,6,19,5,254.423056, 10a9251
87,2016-06-21,141.51,46.21,0.354739,0.275593,0.204809,0.159114,3,2016,109.401974,6,21,5,219.003885, 10a9251
88,2016-06-23,142.675,46.19,0.306781,0.292064,0.15339,0.146032,4,2016,89.312596,6,23,5,245.017651, 10a9251
89,2016-06-25,140.285,45.905,0.698388,0.702556,0.349194,0.351278,4,2016,169.476197,6,25,5,196.822484, 10a9251
90,2016-06-27,139.795,45.87,0.42623,0.499058,0.213115,0.249529,4,2016,130.626052,6,27,5,210.452079, 10a9251
91,2016-06-29,141.25,46.64,0.327454,0.512983,0.189056,0.296171,3,2016,69.154237,6,29,5,265.362702, 10a9251
92,2016-07-01,141.75,46.66,0.485679,2.594962,0.280407,1.498202,3,2016,297.916127,7,1,5,271.156086, 10a9251
93,2016-07-03,141.625,44.45,0.216538,0.689902,0.108269,0.344951,4,2016,177.337763,7,3,5,41.335846, 10a9251
94,2016-07-05,139.32,46.97,0.362422,0.481943,0.209245,0.27825,3,2016,95.484748,7,5,5,335.200107, 10a9251
95,2016-07-07,141.39,46.005,0.566958,0.478826,0.283479,0.239413,4,2016,109.416322,7,7,5,195.393395, 10a9251
96,2016-07-09,143.46,43.99,0.363444,0.938226,0.209834,0.541685,3,2016,207.657562,7,9,5,184.385142, 10a9251
