binID,date, med_lon, med_lat, sd_lon, sd_lat, SEM_lon, SEM_lat, samplesize, year, distperday, month, day, confidence, distcolony, bird
53,2016-04-14,79.28,30.36,0,0,0,0,1,2016,72.934843,4,14,5,5562.844059, 10a9251
68,2016-05-15,140.21,43.92,0,0,0,0,1, NaN,178.044737,5,15,5,86.428844, 10a9251
69,2016-05-16,138.59,46.39,0.229423,0.520209,0.132458,0.300343,3, NaN,147.341446,5,16,5,312.735558, 10a9251
72,2016-05-22,138.93,47.71,0.496768,0.535606,0.286809,0.309232,3,2016,92.272331,5,22,5,422.098778, 10a9251
73,2016-05-25,140.25,47.87,0,0,0,0,1,2016,52.506614,5,25,5,408.514635, 10a9251
74,2016-05-26,136.725,47.86,0.077782,0,0.055,0,2, NaN,132.668265,5,26,5,528.868353, 10a9251
77,2016-06-01,140.11,45.91,0.681503,0.564863,0.340751,0.282432,4,2016,143.647098,6,1,5,202.696464, 10a9251
78,2016-06-03,136.615,46.635,0.296158,0.45962,0.209415,0.325,2,2016,94.612409,6,3,5,444.794612, 10a9251
79,2016-06-06,138.745,47.725,0.642019,0.869746,0.453976,0.615003,2, NaN,150.471197,6,6,5,429.710061, 10a9251
80,2016-06-07,140.455,45.35,0.197565,0.284781,0.098782,0.142391,4, NaN,111.671284,6,7,5,134.929143, 10a9251
81,2016-06-09,139.59,42.02,0,0,0,0,1,2016,305.615528,6,9,5,279.948338, 10a9251
82,2016-06-11,139.905,46.595,0.56844,0.601044,0.401948,0.425003,2,2016,204.083871,6,11,5,278.923341, 10a9251
83,2016-06-13,140.7,45.72,0.394834,1.074803,0.27919,0.76,2,2016,157.629098,6,13,5,167.484741, 10a9251
84,2016-06-15,143.12,45.84,0.157408,2.474874,0.111304,1.75,2,2016,297.926632,6,15,5,233.101463, 10a9251
85,2016-06-17,144.275,43.105,0.588376,0.601538,0.294188,0.300769,4,2016,103.045991,6,17,5,279.853251, 10a9251
86,2016-06-19,142.52,45.845,0.547157,0.852418,0.273579,0.426209,4,2016,185.595741,6,19,5,205.81768, 10a9251
87,2016-06-21,140.83,48.07,0.331468,0.975202,0.191373,0.563033,3,2016,177.873932,6,21,5,425.18443, 10a9251
88,2016-06-24,141.14,47.83,0,0,0,0,1,2016,113.502713,6,24,5,397.628861, 10a9251
89,2016-06-25,143.59,44.15,0.495037,0.421136,0.28581,0.243143,3,2016,205.046732,6,25,5,192.542391, 10a9251
90,2016-06-27,144.785,44.9,0.636003,0.848532,0.449722,0.600003,2,2016,92.674625,6,27,5,294.779262, 10a9251
91,2016-06-29,141.485,48.685,2.021213,0.545227,1.429214,0.385534,2,2016,247.566553,6,29,5,493.221281, 10a9251
92,2016-07-01,140.335,46.865,1.048065,2.001125,0.741094,1.415009,2,2016,221.713111,7,1,5,297.817082, 10a9251
93,2016-07-03,141.36,46.195,0.342624,0.077785,0.242272,0.055003,2,2016,73.524894,7,3,5,216.283623, 10a9251
94,2016-07-05,143.92,43.73,0,0,0,0,1,2016,352.784607,7,5,5,226.912013, 10a9251
95,2016-07-07,142.335,47.86,0.431486,1.470783,0.305107,1.04,2,2016,269.005426,7,7,5,410.685979, 10a9251
96,2016-07-09,141.66,45.965,1.887373,0.206318,1.334574,0.145889,2,2016,211.494125,7,9,5,193.913337, 10a9251
97,2016-07-11,142.165,48.3,0.954609,1.046537,0.675011,0.740013,2,2016,208.42439,7,11,5,456.154293, 10a9251
98,2016-07-13,142.61,47.83,0.034989,0.007071,0.020201,0.004082,3,2016,53.062214,7,13,5,412.600553, 10a9251
99,2016-07-15,140.37,49.25,0.664531,0.700637,0.383667,0.404513,3,2016,208.499005,7,15,5,558.991614, 10a9251
100,2016-07-17,139.555,45.795,0.00493,0.091924,0.003486,0.065,2,2016,166.618558,7,17,5,214.19894, 10a9251
101,2016-07-19,142.97,47.005,0.231455,0.162635,0.163663,0.115,2,2016,127.348646,7,19,5,336.034265, 10a9251
102,2016-07-21,141.37,48.055,0.831785,0.544493,0.588161,0.385015,2,2016,172.918647,7,21,5,422.871054, 10a9251
103,2016-07-23,140.13,50.53,0.248801,0.233132,0.143645,0.134599,3,2016,128.748034,7,23,5,702.402393, 10a9251
104,2016-07-25,139.26,49.48,0.345991,0.94102,0.199758,0.543298,3,2016,135.442982,7,25,5,599.298859, 10a9251
105,2016-07-27,142.38,46.55,0.225119,0.546642,0.129972,0.315604,3,2016,161.516851,7,27,5,271.893642, 10a9251
106,2016-07-29,143.12,46.37,0.455316,0.730904,0.262877,0.421988,3,2016,132.205635,7,29,5,279.946994, 10a9251
107,2016-08-01,143.39,51.21,0.49601,0.905099,0.350732,0.640001,2,2016,305.145381,8,1,5,790.915844, 10a9251
108,2016-08-02,142.44,54.22,0.180206,0.576325,0.104042,0.332741,3,2016,135.265377,8,2,5,1112.202473, 10a9251
109,2016-08-04,142.61,53.95,0.529081,0.814452,0.305465,0.470224,3,2016,148.929851,8,4,5,1083.384487, 10a9251
110,2016-08-06,141.88,55.2,0.241623,2.31931,0.170853,1.64,2,2016,359.927336,8,6,5,1218.596483, 10a9251
111,2016-08-08,144.125,55.705,0.187217,0.742462,0.132382,0.525,2,2016,218.692559,8,8,5,1290.833694, 10a9251
112,2016-08-10,142.175,56.055,1.462821,1.845653,1.034371,1.305074,2,2016,357.972585,8,10,5,1314.642443, 10a9251
113,2016-08-12,137.96,59.415,0.374136,0.473764,0.264554,0.335002,2,2016,337.253574,8,12,5,1701.073105, 10a9251
114,2016-08-15,138.59,57.32,0,0,0,0,1,2016,139.654873,8,15,5,1464.839349, 10a9251
115,2016-08-17,139.61,59.6,0,0,0,0,1,2016,130.645501,8,17,5,1710.910781, 10a9251
116,2016-08-18,139.46,59.98,0,0,0,0,1,2016,43.165062,8,18,5,1753.768925, 10a9251
119,2016-08-25,138.86,58.1,0,0,0,0,1,2016,28.295446,8,25,5,1548.831534, 10a9251
120,2016-08-26,138.57,58.75,0.611856,0.811019,0.353255,0.468242,3,2016,126.112589,8,26,5,1622.786539, 10a9251
123,2016-09-01,140.245,59.535,0.089611,0.601041,0.063365,0.425,2,2016,71.257975,9,1,5,1701.544484, 10a9251
124,2016-09-03,139.83,59.95,0,0,0,0,1,2016,95.007417,9,3,5,1748.965165, 10a9251
139,2016-10-04,136.89,46.16,0,0,0,0,1, NaN,49.105433,10,4,4,398.417429, 10a9251
141,2016-10-08,140.47,44.75,0,0,0,0,1, NaN,80.421798,10,8,5,79.305649, 10a9251
142,2016-10-10,140.24,33.66,0,0,0,0,1, NaN,820.914624,10,10,5,1178.790934, 10a9251
143,2016-10-11,138.945,32.78,0.208035,1.187939,0.147103,0.84,2,2016,172.784958,10,11,5,1288.319323, 10a9251
144,2016-10-14,136.47,36.99,0,0,0,0,1, NaN,177.421587,10,14,5,899.4062, 10a9251
145,2016-10-16,139.14,38.55,0,0,0,0,1,2016,195.711486,10,16,5,655.989543, 10a9251
146,2016-10-18,136.96,57.76,0.414128,2.064752,0.292833,1.46,2,2016,740.581546,10,18,5,1530.873907, 10a9251
147,2016-10-19,136.47,54.84,0.241043,0.60154,0.139166,0.347299,3,2016,151.233028,10,19,5,1225.245361, 10a9251
148,2016-10-21,137.26,46.69,0.193149,0.962924,0.096575,0.481462,4,2016,419.5398,10,21,5,409.289094, 10a9251
149,2016-10-23,138.875,48.95,0.06626,0.574505,0.03313,0.287252,4,2016,155.42819,10,23,5,551.274799, 10a9251
150,2016-10-25,140.57,49.925,0.391165,1.704128,0.276595,1.205,2,2016,309.002825,10,25,5,632.315299, 10a9251
152,2016-10-29,142.55,38.02,0.27845,1.286934,0.196894,0.91,2,2016,259.62323,10,29,5,701.58183, 10a9251
153,2016-10-31,139.77,43.17,0.077404,0.131212,0.044689,0.075755,3,2016,181.897385,10,31,5,165.784194, 10a9251
154,2016-11-02,140.89,39.13,0.368101,0.581845,0.184051,0.290923,4,2016,243.286584,11,2,5,569.506015, 10a9251
155,2016-11-04,139.89,41.73,0.683878,0.725145,0.394837,0.418662,3, NaN,144.000904,11,4,5,299.502591, 10a9251
156,2016-11-06,142.29,43.98,0.49379,1.160204,0.28509,0.669844,3,2016,190.224797,11,6,5,93.472783, 10a9251
157,2016-11-09,141.275,41.15,0.197,0.339411,0.1393,0.24,2,2016,146.669424,11,9,5,344.758678, 10a9251
158,2016-11-10,141.74,40.845,0.224922,0.599581,0.112461,0.299791,4,2016,139.899372,11,10,5,381.279997, 10a9251
159,2016-11-12,141.12,40.22,0.490782,0.683412,0.245391,0.341706,4,2016,177.036392,11,12,5,447.987534, 10a9251
160,2016-11-15,141.035,42.66,0.919415,2.276889,0.650125,1.610004,2,2016,353.859331,11,15,5,177.380749, 10a9251
161,2016-11-16,141.82,40.61,0.571758,0.73758,0.330104,0.425842,3,2016,165.655354,11,16,5,408.000113, 10a9251
162,2016-11-18,140.885,40.38,0.420438,0.879219,0.210219,0.43961,4,2016,200.462514,11,18,5,430.899868, 10a9251
163,2016-11-20,139.69,40.8,0.324457,0.853903,0.187325,0.493001,3,2016,103.727206,11,20,5,402.728491, 10a9251
164,2016-11-22,139.02,41.515,0.203547,0.413451,0.101773,0.206726,4,2016,71.838541,11,22,5,351.815433, 10a9251
165,2016-11-24,139.605,39.085,0.39593,0.429383,0.197965,0.214691,4,2016,129.356576,11,24,5,588.834131, 10a9251
166,2016-11-26,138.47,36.265,0.374374,0.68926,0.187187,0.34463,4,2016,226.130468,11,26,5,916.400744, 10a9251
167,2016-11-28,137.93,36.765,0.262331,0.525323,0.131166,0.262662,4,2016,80.402517,11,28,5,875.862142, 10a9251
168,2016-11-30,134.76,35.43,0.270995,0.39309,0.135497,0.196545,4,2016,170.311633,11,30,5,1122.547637, 10a9251
169,2016-12-02,132.43,32.665,0.436796,0.564675,0.218398,0.282338,4,2016,211.458891,12,2,5,1494.114422, 10a9251
170,2016-12-04,128.28,32.99,0.371398,0.444429,0.214427,0.256591,3,2016,208.359053,12,4,5,1676.993428, 10a9251
171,2016-12-06,128.185,32.275,0.258455,0.754651,0.129227,0.377325,4,2016,126.220419,12,6,5,1745.42893, 10a9251
172,2016-12-09,128.62,32.88,0.771715,1.583921,0.545685,1.120001,2,2016,270.303164,12,9,5,1667.253377, 10a9251
173,2016-12-10,129.165,32.58,0.433001,1.406931,0.2165,0.703466,4,2016,189.773981,12,10,5,1663.84578, 10a9251
174,2016-12-12,128.84,33.3,0.309039,0.688467,0.154519,0.344233,4,2016,167.978283,12,12,5,1617.777737, 10a9251
175,2016-12-14,129.48,39.82,0,0,0,0,1,2016,513.10817,12,14,5,1085.720083, 10a9251
176,2016-12-16,128.88,33.33,0.212827,0.478223,0.106414,0.239112,4,2016,198.518271,12,16,5,1612.867649, 10a9251
177,2016-12-18,128.375,34.185,0.064071,0.2537,0.032036,0.12685,4,2016,34.493336,12,18,5,1568.975526, 10a9251
178,2016-12-20,128.56,35.255,0.295416,1.052521,0.147708,0.526261,4,2016,139.393409,12,20,5,1469.490236, 10a9251
179,2016-12-22,128.53,37.02,0.695843,1.80824,0.401745,1.043988,3,2016,269.980597,12,22,5,1335.812401, 10a9251
180,2016-12-24,127.62,33.48,0.092334,0.349651,0.046167,0.174825,4,2016,51.5078,12,24,5,1673.82955, 10a9251
