binID,date, med_lon, med_lat, sd_lon, sd_lat, SEM_lon, SEM_lat, samplesize, year, distperday, month, day, confidence, distcolony, bird
60,2016-04-29,140.44,45.51,0,0,0,0,1,2016,0,4,29,5,151.615643, 10a9251
61,2016-04-30,139.92,46.61,0.161144,0.493817,0.080572,0.246909,4,2016,85.806824,4,30,5,280.058381, 10a9251
62,2016-05-02,140.72,43.76,0.842685,0.998681,0.486524,0.576589,3,2016,378.723281,5,2,5,66.26673, 10a9251
63,2016-05-04,142.16,41.83,0.569593,1.988184,0.328854,1.147879,3,2017,430.852818,5,4,5,280.622949, 10a9251
64,2016-05-06,141.15,45.65,0,0,0,0,1,2016,153.376805,5,6,5,155.297116, 10a9251
66,2016-05-10,141.22,44.05,0,0,0,0,1, NaN,44.473055,5,10,5,22.703538, 10a9251
68,2016-05-14,141.215,42.8,2.204896,0.495754,1.559097,0.350551,2, NaN,198.087261,5,14,5,161.428175, 10a9251
70,2016-05-18,139.74,40.95,0,0,0,0,1, NaN,58.415357,5,18,5,385.571733, 10a9251
71,2016-05-21,141.16,43.69,0,0,0,0,1,2016,108.843671,5,21,5,62.566863, 10a9251
72,2016-05-22,142.315,40.3,2.03242,1.357817,1.437138,0.960122,2,2016,330.418993,5,22,5,448.837268, 10a9251
74,2016-05-27,139.81,40.65,0,0,0,0,1, NaN,100.205676,5,27,5,415.874681, 10a9251
76,2016-05-30,139.03,44.44,0,0,0,0,1, NaN,141.851107,5,30,5,173.116481, 10a9251
77,2016-06-01,141.73,35.66,0,0,0,0,1,2016,502.53819,6,1,5,955.222046, 10a9251
78,2016-06-04,142.48,39.01,0,0,0,0,1,2016,125.953637,6,4,5,592.182783, 10a9251
79,2016-06-05,140.765,42.66,0.795403,1.08895,0.562435,0.770004,2,2016,297.441837,6,5,5,180.203264, 10a9251
81,2016-06-09,141.62,38.785,1.818141,1.576933,1.28562,1.11506,2, NaN,240.952074,6,9,5,608.355884, 10a9251
83,2016-06-14,143.22,38.31,0,0,0,0,1, NaN,17.787143,6,14,5,681.594881, 10a9251
84,2016-06-15,144.78,41.14,0.894642,0.950718,0.516522,0.548897,3,2016,201.202531,6,15,5,454.136406, 10a9251
85,2016-06-18,141.69,41.33,0,0,0,0,1,2016,129.096673,6,18,5,327.302154, 10a9251
86,2016-06-19,143.22,38.29,0.415379,0.586531,0.239819,0.338634,3,2016,177.413006,6,19,5,683.750897, 10a9251
87,2016-06-22,144.705,45.14,0.17457,0.240416,0.123439,0.17,2,2016,292.481979,6,22,5,295.849104, 10a9251
88,2016-06-23,141.56,44.87,1.111159,1.155756,0.641528,0.667276,3,2016,365.653327,6,23,5,74.763543, 10a9251
90,2016-06-28,138.85,42.51,0,0,0,0,1, NaN,98.694979,6,28,5,270.727433, 10a9251
91,2016-06-29,141.77,44.46,0.788446,1.103609,0.455209,0.637169,3,2016,155.156314,6,29,5,51.983551, 10a9251
92,2016-07-01,143.425,43.44,0.179697,0.240416,0.127065,0.17,2,2016,114.937564,7,1,5,201.457483, 10a9251
93,2016-07-04,144.51,34.66,0,0,0,0,1,2016,321.046431,7,4,5,1102.538143, 10a9251
94,2016-07-06,138.22,46.74,0,0,0,0,1,2016,714.424182,7,6,5,360.69029, 10a9251
95,2016-07-07,141.13,44.39,0,0,0,0,1,2016,346.110247,7,7,5,15.873085, 10a9251
97,2016-07-11,141.79,41.465,1.440353,1.803158,1.018484,1.275025,2, NaN,242.144651,7,11,5,313.611059, 10a9251
98,2016-07-13,141.22,43.735,1.931242,0.234382,1.365594,0.165733,2,2016,231.450337,7,13,5,57.60076, 10a9251
99,2016-07-15,144.26,41.51,1.152807,0.374352,0.665573,0.216132,3,2016,228.106628,7,15,5,394.824337, 10a9251
101,2016-07-20,145.48,43.03,0,0,0,0,1, NaN,101.275464,7,20,5,372.143859, 10a9251
102,2016-07-21,143.745,42.69,0.005197,0.86267,0.003675,0.61,2,2016,156.152791,7,21,5,270.238021, 10a9251
103,2016-07-24,145.01,49.28,0,0,0,0,1,2016,336.573535,7,24,5,630.406242, 10a9251
104,2016-07-26,141.13,41.84,0,0,0,0,1,2016,437.733793,7,26,5,268.084751, 10a9251
106,2016-07-29,144.49,47.65,0,0,0,0,1, NaN,233.474304,7,29,5,456.217602, 10a9251
